Class,Method,Inferred Type,Original Type,Source Code,Comments
ActiveMerchant::Connection,initialize,((String and URI::HTTP)) -> self,,"def initialize(endpoint)
      @endpoint     = endpoint.is_a?(URI) ? endpoint : URI.parse(endpoint)
      @open_timeout = OPEN_TIMEOUT
      @read_timeout = READ_TIMEOUT
      @retry_safe   = RETRY_SAFE
      @verify_peer  = VERIFY_PEER
      @ca_file      = CA_FILE
      @ca_path      = CA_PATH
      @max_retries  = MAX_RETRIES
      @ignore_http_status = false
      @ssl_version = nil
      if Net::HTTP.instance_methods.include?(:min_version=)
        @min_version = MIN_VERSION
        @max_version = nil
      end
      @ssl_connection = {}
      @proxy_address = :ENV
      @proxy_port = nil
    end"
ActiveMerchant::Connection,wiredump_device=,([ frozen?: () -> XXX ]) -> [ frozen?: () -> XXX ],,"def wiredump_device=(device)
      raise ArgumentError, ""can't wiredump to frozen #{device.class}"" if device&.frozen?
      @wiredump_device = device
    end"
ActiveMerchant::Connection,http,() -> (XXX or XXX),,"def http
      @http ||= begin
        http = Net::HTTP.new(endpoint.host, endpoint.port, proxy_address, proxy_port)
        configure_debugging(http)
        configure_timeouts(http)
        configure_ssl(http)
        configure_cert(http)
        http
      end
    end"
ActiveMerchant::Connection,configure_debugging,(Net::HTTP) -> XXX,,"def configure_debugging(http)
      http.set_debug_output(wiredump_device)
    end"
ActiveMerchant::Connection,configure_timeouts,((ActiveMerchant::Billing::Gateway or ActiveMerchant::Connection or Net::HTTP)) -> XXX,,"def configure_timeouts(http)
      http.open_timeout = open_timeout
      http.read_timeout = read_timeout
    end"
ActiveMerchant::Connection,configure_ssl,(Net::HTTP) -> nil,,"def configure_ssl(http)
      return unless endpoint.scheme == 'https'

      http.use_ssl = true
      http.ssl_version = ssl_version if ssl_version
      if http.respond_to?(:min_version=)
        http.min_version = min_version if min_version
        http.max_version = max_version if max_version
      end

      if verify_peer
        http.verify_mode = OpenSSL::SSL::VERIFY_PEER
        http.ca_file     = ca_file
        http.ca_path     = ca_path
      else
        http.verify_mode = OpenSSL::SSL::VERIFY_NONE
      end
    end"
ActiveMerchant::Connection,configure_cert,((Net::HTTP or OpenSSL::SSL::SSLContext)) -> nil,,"def configure_cert(http)
      return if pem.blank?

      http.cert = OpenSSL::X509::Certificate.new(pem)

      if pem_password
        http.key = OpenSSL::PKey::RSA.new(pem, pem_password)
      else
        http.key = OpenSSL::PKey::RSA.new(pem)
      end
    end"
ActiveMerchant::Connection,debug,"(XXX, ?XXX) -> XXX",,"def debug(message, tag = nil)
      log(:debug, message, tag)
    end"
ActiveMerchant::Connection,info,"(XXX, ?XXX) -> XXX",,"def info(message, tag = nil)
      log(:info, message, tag)
    end"
ActiveMerchant::Connection,error,"(XXX, ?XXX) -> XXX",,"def error(message, tag = nil)
      log(:error, message, tag)
    end"
ActiveMerchant::Connection,log,"(XXX, XXX, XXX) -> XXX",,"def log(level, message, tag)
      message = ""[#{tag}] #{message}"" if tag
      logger&.send(level, message)
    end"
ActiveMerchant::CountryCode,initialize,([ to_s: () -> String ]) -> self,,"def initialize(value)
      @value = value.to_s.upcase
      detect_format
    end"
ActiveMerchant::CountryCode,to_s,() -> XXX,,"def to_s
      value
    end"
ActiveMerchant::CountryCode,detect_format,() -> (:alpha2 or :alpha3 or :numeric),,"def detect_format
      case @value
      when /^[[:alpha:]]{2}$/
        @format = :alpha2
      when /^[[:alpha:]]{3}$/
        @format = :alpha3
      when /^[[:digit:]]{3}$/
        @format = :numeric
      else
        raise CountryCodeFormatError, ""The country code is not formatted correctly #{@value}""
      end
    end"
ActiveMerchant::Country,initialize,"(?([ collect: () {(XXX, XXX) -> XXX} -> XXX ] and [ delete: (:name) -> XXX ])) -> self",,"def initialize(options = {})
      @name = options.delete(:name)
      @codes = options.collect { |k, v| CountryCode.new(v) }
    end"
ActiveMerchant::Country,code,(XXX) -> XXX,,"def code(format)
      @codes.detect { |c| c.format == format }
    end"
ActiveMerchant::Country,==,([ name: () -> XXX ]) -> (false or true),,"def ==(other)
      if other.class == ActiveMerchant::Country
        (@name == other.name)
      else
        super
      end
    end"
ActiveMerchant::Country,hash,() -> XXX,,"def hash
      @name.hash
    end"
ActiveMerchant::Country,to_s,() -> String,,"def to_s
      @name
    end"
ActiveMerchant::Empty,empty?,(XXX) -> (false or true),,"def empty?(value)      
      case value
      when nil
        true
      when Array, Hash
        value.empty?
      when String
        value.strip.empty?
      when Numeric
        (value == 0)
      else
        false
      end
    end"
ActiveMerchant::ConnectionError,initialize,"(XXX, XXX) -> self",,"def initialize(message, triggering_exception)
      super(message)
      @triggering_exception = triggering_exception
    end"
ActiveMerchant::ResponseError,initialize,"(([ body: () -> XXX ] and [ code: () -> XXX ]), ?nil) -> self",,"def initialize(response, message = nil)
      @response = response
      @message  = message
    end"
ActiveMerchant::ResponseError,to_s,() -> String,,"def to_s
      ""Failed with #{response.code} #{response.message if response.respond_to?(:message)}""
    end"
ActiveMerchant::NetworkConnectionRetries,log_with_retry_details,"([ send: (XXX, XXX) -> XXX ], XXX, XXX, XXX, XXX) -> XXX",,"def log_with_retry_details(logger, attempts, time, message, tag)
      ActiveMerchant::NetworkConnectionRetries.log(logger, :info, 'connection_attempt=%d connection_request_time=%.4fs connection_msg=""%s""' % [attempts, time, message], tag)
    end"
ActiveMerchant::NetworkConnectionRetries,derived_error_message,"(([ []: (XXX) -> XXX ] and [ keys: () -> XXX ]), Module) -> nil",,"def derived_error_message(errors, klass)
      key = (errors.keys & klass.ancestors).first
      key ? errors[key] : nil
    end"
ActiveMerchant::PostData,to_post_data,() -> String,,"def to_post_data
      collect { |key, value| ""#{key}=#{CGI.escape(value.to_s)}"" }.join('&')
    end"
ActiveMerchant::PostData,required?,(XXX) -> (false or true),,"def required?(key)
      required_fields.include?(key)
    end"
ActiveMerchant::PostsData,ssl_get,"(XXX, ?XXX) -> XXX",,"def ssl_get(endpoint, headers={})
      ssl_request(:get, endpoint, nil, headers)
    end"
ActiveMerchant::PostsData,ssl_post,"(XXX, XXX, ?XXX) -> XXX",,"def ssl_post(endpoint, data, headers = {})
      ssl_request(:post, endpoint, data, headers)
    end"
ActiveMerchant::PostsData,ssl_request,"(XXX, XXX, XXX, XXX) -> XXX",,"def ssl_request(method, endpoint, data, headers)
      handle_response(raw_ssl_request(method, endpoint, data, headers))
    end"
ActiveMerchant::PostsData,new_connection,((String and URI::HTTP)) -> ActiveMerchant::Connection,,"def new_connection(endpoint)
      ActiveMerchant::Connection.new(endpoint)
    end"
ActiveMerchant::PostsData,handle_response,(([ body: () -> XXX ] and [ code: () -> XXX ])) -> XXX,,"def handle_response(response)
      case response.code.to_i
      when 200...300
        response.body
      else
        raise ActiveMerchant::ResponseError.new(response)
      end
    end"
ActiveMerchant::Billing::ApplePayPaymentToken,type,() -> String,,"def type
        'apple_pay'
      end"
ActiveMerchant::Billing::AVSResult,initialize,(([ []: (:code) -> XXX ] and [ []: (:postal_match) -> XXX ] and [ []: (:street_match) -> XXX ])) -> self,,"def initialize(attrs)
        attrs ||= {}

        @code = attrs[:code].upcase unless attrs[:code].blank?
        @message = self.class.messages[code]

        if attrs[:street_match].blank?
          @street_match = STREET_MATCH_CODE[code]
        else
          @street_match = attrs[:street_match].upcase
        end

        if attrs[:postal_match].blank?
          @postal_match = POSTAL_MATCH_CODE[code]
        else
          @postal_match = attrs[:postal_match].upcase
        end
      end"
ActiveMerchant::Billing::AVSResult,to_hash,"() -> Hash<String, (XXX or XXX or XXX or XXX)>",,"def to_hash
        { 'code' => code,
          'message' => message,
          'street_match' => street_match,
          'postal_match' => postal_match}
      end"
ActiveMerchant::Billing::Check,name,() -> String,,"def name
        @name ||= ""#{first_name} #{last_name}"".strip
      end"
ActiveMerchant::Billing::Check,name=,(String) -> nil,,"def name=(value)
        return if empty?(value)

        @name = value
        segments = value.split(' ')
        @last_name = segments.pop
        @first_name = segments.join(' ')
      end"
ActiveMerchant::Billing::Check,validate,() -> XXX,,"def validate
        errors = []

        [:name, :routing_number, :account_number].each do |attr|
          errors << [attr, 'cannot be empty'] if empty?(self.send(attr))
        end

        errors << [:routing_number, 'is invalid'] unless valid_routing_number?

        errors << [:account_holder_type, 'must be personal or business'] if !empty?(account_holder_type) && !%w[business personal].include?(account_holder_type.to_s)

        errors << [:account_type, 'must be checking or savings'] if !empty?(account_type) && !%w[checking savings].include?(account_type.to_s)

        errors_hash(errors)
      end"
ActiveMerchant::Billing::Check,type,() -> String,,"def type
        'check'
      end"
ActiveMerchant::Billing::Check,credit_card?,() -> false,,"def credit_card?
        false
      end"
